"#","Код","Параметр:Код:Подсоединение","Параметр:Код:Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Наружный диаметр штока","Параметр:Код: Диапазон температур (W - с заполнением жидкостью / G - с заполнением газом).","Параметр:Код:Диаметр штока x Длина штока/Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Длина штока (мм)"
,"ETS3000X-C-G(~100~+150)-3000mm-B-2-100-1","MNPT 3/4","3000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>3000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-3000mm-B-2-100-2","MNPT 3/4","3000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>3000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-3000mm-B-3-80-1","MNPT 3/4","3000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>3000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-3000mm-B-3-80-2","MNPT 3/4","3000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>3000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-3000mm-B-4-80-1","MNPT 3/4","3000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>3000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-3000mm-B-4-80-2","MNPT 3/4","3000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>3000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-4000mm-A-1-150-1","MNPT 1/2","4000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>4000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-4000mm-A-1-150-2","MNPT 1/2","4000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>4000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-4000mm-A-2-100-1","MNPT 1/2","4000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>4000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-4000mm-A-2-100-2","MNPT 1/2","4000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>4000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-4000mm-A-3-80-1","MNPT 1/2","4000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>4000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-4000mm-A-3-80-2","MNPT 1/2","4000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>4000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-4000mm-A-4-80-1","MNPT 1/2","4000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>4000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-4000mm-A-4-80-2","MNPT 1/2","4000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>4000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-4000mm-B-1-150-1","MNPT 3/4","4000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>4000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-4000mm-B-1-150-2","MNPT 3/4","4000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>4000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-4000mm-B-2-100-1","MNPT 3/4","4000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>4000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-4000mm-B-2-100-2","MNPT 3/4","4000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>4000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-4000mm-B-3-80-1","MNPT 3/4","4000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>4000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-4000mm-B-3-80-2","MNPT 3/4","4000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>4000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-4000mm-B-4-80-1","MNPT 3/4","4000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>4000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-4000mm-B-4-80-2","MNPT 3/4","4000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>4000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-5000mm-A-1-150-1","MNPT 1/2","5000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>5000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-5000mm-A-1-150-2","MNPT 1/2","5000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>5000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-5000mm-A-2-100-1","MNPT 1/2","5000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>5000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-5000mm-A-2-100-2","MNPT 1/2","5000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>5000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-5000mm-A-3-80-1","MNPT 1/2","5000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>5000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-5000mm-A-3-80-2","MNPT 1/2","5000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>5000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-5000mm-A-4-80-1","MNPT 1/2","5000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>5000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-5000mm-A-4-80-2","MNPT 1/2","5000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>5000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-5000mm-B-1-150-1","MNPT 3/4","5000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>5000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-5000mm-B-1-150-2","MNPT 3/4","5000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>5000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-5000mm-B-2-100-1","MNPT 3/4","5000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>5000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-5000mm-B-2-100-2","MNPT 3/4","5000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>5000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-5000mm-B-3-80-1","MNPT 3/4","5000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>5000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-5000mm-B-3-80-2","MNPT 3/4","5000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>5000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-5000mm-B-4-80-1","MNPT 3/4","5000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>5000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-5000mm-B-4-80-2","MNPT 3/4","5000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>5000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-6000mm-A-1-150-1","MNPT 1/2","6000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>6000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-6000mm-A-1-150-2","MNPT 1/2","6000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>6000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-6000mm-A-2-100-1","MNPT 1/2","6000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>6000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-6000mm-A-2-100-2","MNPT 1/2","6000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>6000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-6000mm-A-3-80-1","MNPT 1/2","6000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>6000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-6000mm-A-3-80-2","MNPT 1/2","6000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>6000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-6000mm-A-4-80-1","MNPT 1/2","6000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>6000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-6000mm-A-4-80-2","MNPT 1/2","6000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>6000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-6000mm-B-1-150-1","MNPT 3/4","6000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>6000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-6000mm-B-1-150-2","MNPT 3/4","6000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>6000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-6000mm-B-2-100-1","MNPT 3/4","6000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>6000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-6000mm-B-2-100-2","MNPT 3/4","6000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>6000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-6000mm-B-3-80-1","MNPT 3/4","6000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>6000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-6000mm-B-3-80-2","MNPT 3/4","6000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>6000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-6000mm-B-4-80-1","MNPT 3/4","6000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>6000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-6000mm-B-4-80-2","MNPT 3/4","6000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>6000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-7000mm-A-1-150-1","MNPT 1/2","7000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>7000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-7000mm-A-1-150-2","MNPT 1/2","7000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>7000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-7000mm-A-2-100-1","MNPT 1/2","7000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>7000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-7000mm-A-2-100-2","MNPT 1/2","7000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>7000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-7000mm-A-3-80-1","MNPT 1/2","7000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>7000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-7000mm-A-3-80-2","MNPT 1/2","7000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>7000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-7000mm-A-4-80-1","MNPT 1/2","7000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>7000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-7000mm-A-4-80-2","MNPT 1/2","7000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>7000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-7000mm-B-1-150-1","MNPT 3/4","7000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>7000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-7000mm-B-1-150-2","MNPT 3/4","7000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>7000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-7000mm-B-2-100-1","MNPT 3/4","7000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>7000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-7000mm-B-2-100-2","MNPT 3/4","7000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>7000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-7000mm-B-3-80-1","MNPT 3/4","7000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>7000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-7000mm-B-3-80-2","MNPT 3/4","7000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>7000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-7000mm-B-4-80-1","MNPT 3/4","7000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>7000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-7000mm-B-4-80-2","MNPT 3/4","7000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>7000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-8000mm-A-1-150-1","MNPT 1/2","8000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>8000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-8000mm-A-1-150-2","MNPT 1/2","8000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>8000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-8000mm-A-2-100-1","MNPT 1/2","8000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>8000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-8000mm-A-2-100-2","MNPT 1/2","8000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>8000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-8000mm-A-3-80-1","MNPT 1/2","8000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>8000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-8000mm-A-3-80-2","MNPT 1/2","8000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>8000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-8000mm-A-4-80-1","MNPT 1/2","8000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>8000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-8000mm-A-4-80-2","MNPT 1/2","8000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>8000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-8000mm-B-1-150-1","MNPT 3/4","8000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>8000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-8000mm-B-1-150-2","MNPT 3/4","8000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>8000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-8000mm-B-2-100-1","MNPT 3/4","8000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>8000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-8000mm-B-2-100-2","MNPT 3/4","8000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>8000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-8000mm-B-3-80-1","MNPT 3/4","8000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>8000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-8000mm-B-3-80-2","MNPT 3/4","8000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>8000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-8000mm-B-4-80-1","MNPT 3/4","8000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>8000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-8000mm-B-4-80-2","MNPT 3/4","8000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>8000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-9000mm-A-1-150-1","MNPT 1/2","9000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>9000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-9000mm-A-1-150-2","MNPT 1/2","9000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>9000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-9000mm-A-2-100-1","MNPT 1/2","9000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>9000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-9000mm-A-2-100-2","MNPT 1/2","9000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>9000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-9000mm-A-3-80-1","MNPT 1/2","9000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>9000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-9000mm-A-3-80-2","MNPT 1/2","9000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>9000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-9000mm-A-4-80-1","MNPT 1/2","9000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>9000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-9000mm-A-4-80-2","MNPT 1/2","9000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>9000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-9000mm-B-1-150-1","MNPT 3/4","9000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>9000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-9000mm-B-1-150-2","MNPT 3/4","9000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>9000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-9000mm-B-2-100-1","MNPT 3/4","9000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>9000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-9000mm-B-2-100-2","MNPT 3/4","9000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>9000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-9000mm-B-3-80-1","MNPT 3/4","9000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>9000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-9000mm-B-3-80-2","MNPT 3/4","9000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>9000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-9000mm-B-4-80-1","MNPT 3/4","9000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>9000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-9000mm-B-4-80-2","MNPT 3/4","9000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>9000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-10000mm-A-1-150-1","MNPT 1/2","10000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>10000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-10000mm-A-1-150-2","MNPT 1/2","10000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>10000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-10000mm-A-2-100-1","MNPT 1/2","10000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>10000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-10000mm-A-2-100-2","MNPT 1/2","10000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>10000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-10000mm-A-3-80-1","MNPT 1/2","10000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>10000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-10000mm-A-3-80-2","MNPT 1/2","10000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>10000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-10000mm-A-4-80-1","MNPT 1/2","10000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>10000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-10000mm-A-4-80-2","MNPT 1/2","10000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>10000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-10000mm-B-1-150-1","MNPT 3/4","10000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>10000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-10000mm-B-1-150-2","MNPT 3/4","10000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>10000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-10000mm-B-2-100-1","MNPT 3/4","10000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>10000мм","SPDTx1","100мм"
